Unnamed: 0,Symbol,Name,Company is Active,Company Founded Date,Country of Primary Listing Iso3,CUSIP,Date Of First Trade,Entity Country HQ,Entity Credit Parent,NACE,Exchange Name (FS),FE Ticker,ISIN,Primary Equity Listing,Proper Name,Public Company,Region Ticker,Sec is Primary Issue,Sec Type,SEDOL,NACE_letter,Report,NACE_lvl_3
221,NL0015000YE1,TME Pharma N.V.,1,2015.0,FRA,N64938116,20180904.0,NLD,0FTX3J-E,21.1,FRANKFURT,@NA,NL0015000YE1,BKPSGC,TME Pharma N.V.,1.0,0N6A-DE,0,SHARE,BPXX958,C,TME Pharma N.V.2.pdf,21.1
255,US74275C2052,"Processa Pharmaceuticals, Inc.",1,2011.0,USA,74275C205,20131113.0,USA,0HR2WY-E,21.2,NASDAQ,PCSA-US,US74275C2052,74275C20,"Processa Pharmaceuticals, Inc.",1.0,PCSA-US,1,SHARE,BL3SW90,C,"Processa Pharmaceuticals, Inc.2.pdf",21.2
257,KYG9005B1041,Transcenta Holding Limited,1,,HKG,G9005B104,20210929.0,CHN,0KHBCN-E,21.2,HONG KONG,6628-HK,KYG9005B1041,BMHT0W,Transcenta Holding Limited,1.0,6628-HK,1,SHARE,BMHT0W5,C,Transcenta Holding Limited1.pdf,21.2
258,US23954D1090,"Day One Biopharmaceuticals, Inc.",1,2018.0,USA,23954D109,20210527.0,USA,@NA,21.2,NASDAQ,DAWN-US,US23954D1090,23954D10,"Day One Biopharmaceuticals, Inc.",1.0,DAWN-US,1,SHARE,BLB0YH0,C,"Day One Biopharmaceuticals, Inc.1.pdf",21.2
263,JP3270790003,"Kringle Pharma, Inc.",1,2001.0,JPN,J3660T101,20201228.0,JPN,@NA,21.1,TOKYO,4884-JP,JP3270790003,BMYDDJ,"Kringle Pharma, Inc.",1.0,4884-JP,1,SHARE,BMYDDJ8,C,"Kringle Pharma, Inc.2.pdf",21.1
267,US15114L1044,"Cell Source, Inc.",1,2012.0,USA,15114L104,20140313.0,USA,00FD5M-E,21.1,US OTC,@NA,US15114L1044,15114L10,"Cell Source, Inc.",1.0,CLCS-US,1,SHARE,BNN83Y6,C,"Cell Source, Inc.1.pdf",21.1
269,KYG5257K1076,Kingboard Laminates Holdings Limited,1,1988.0,HKG,G5257K107,20161205.0,HKG,06M0T0-E,26.11,HONG KONG CONNECT - SHENZHEN,1888-SZSC,KYG5257K1076,B1HHFV,Kingboard Laminates Holdings Limited,1.0,@NA,0,SHARE,BD8NKK1,C,Kingboard Laminates Holdings Limited1.pdf,26.1
280,US88338N2062,"TherapeuticsMD, Inc.",1,1907.0,USA,88338N206,20020128.0,USA,0C472F-E,21.2,NASDAQ,TXMD-US,US88338N2062,88338N20,"TherapeuticsMD, Inc.",1.0,TXMD-US,1,SHARE,BPX3N12,C,"TherapeuticsMD, Inc.1.pdf",21.2
281,KYG549581067,Hansoh Pharmaceutical Group Company Limited,1,2015.0,HKG,G54958106,20190911.0,CHN,0JYJX8-E,21.2,HONG KONG CONNECT - SHENZHEN,3692-SZSC,KYG549581067,BJYKB7,Hansoh Pharmaceutical Group Company Limited,1.0,@NA,0,SHARE,BKLJN73,C,Hansoh Pharmaceutical Group Company Limited1.pdf,21.2
282,SE0010831321,Fluicell AB,1,2012.0,SWE,W3R32E101,20180418.0,SWE,@NA,21.1,OMX NORDIC STOCKHOLM,FLUI-SE,SE0010831321,BF3SZ1,Fluicell AB,1.0,FLUI-SE,1,SHARE,BF3SZ11,C,Fluicell AB1.pdf,21.1
284,NO0003070609,IDEX Biometrics ASA,1,1996.0,NOR,R33736100,20101116.0,NOR,06JNND-E,26.11,LONDON,@NA,NO0003070609,537421,IDEX Biometrics ASA,1.0,0MTP-GB,0,SHARE,B43BZJ1,C,IDEX Biometrics ASA1.pdf,26.1
285,MYL3867OO008,Malaysian Pacific Industries Bhd.,1,1962.0,MYS,Y56939104,19880323.0,MYS,05HXJ3-E,26.11,MALAYSIA,3867-MY,MYL3867OO008,655669,Malaysian Pacific Industries Bhd.,1.0,3867-MY,1,SHARE,6556693,C,Malaysian Pacific Industries Bhd.1.pdf,26.1
286,JP3201200007,Olympus Corp.,1,1919.0,JPN,J61240107,20031126.0,JPN,05HWHD-E,26.6,US OTC,@NA,JP3201200007,665880,Olympus Corp.,1.0,OCPNF-US,0,SHARE,B02K7C8,C,Olympus Corp.1.pdf,26.6
289,TW0008291006,"ShineMore Technology Materials Co., Ltd.",1,1997.0,TWN,Y7747F110,20040712.0,TWN,07CYVX-E,26.11,TAIPEI,8291-TW,TW0008291006,B01SF8,"ShineMore Technology Materials Co., Ltd.",1.0,8291-TW,1,SHARE,B01SF85,C,"ShineMore Technology Materials Co., Ltd.3.pdf",26.1
295,KYG3931M1024,Global Lighting Technologies Inc.,1,2000.0,TWN,G3931M102,20110728.0,TWN,068LWX-E,26.11,TAIWAN,4935-TW,KYG3931M1024,B6QH3G,Global Lighting Technologies Inc.,1.0,4935-TW,1,SHARE,B6QH3G3,C,Global Lighting Technologies Inc.1.pdf,26.1
297,DE000A1YCMM2,SolarWorld AG,0,1998.0,DEU,D7045Y145,20071116.0,DEU,05J5CJ-E,26.11,LONDON,@NA,DE000A1YCMM2,BJ8RK0,SolarWorld AG,1.0,0QJC-GB,0,SHARE,BJFLSH3,C,SolarWorld AG1.pdf,26.1
