,Symbol,Name,Company is Active,Company Founded Date,Country of Primary Listing Iso3,CUSIP,Date Of First Trade,Entity Country HQ,Entity Credit Parent,NACE,Exchange Name (FS),FE Ticker,ISIN,Primary Equity Listing,Proper Name,Public Company,Region Ticker,Sec is Primary Issue,Sec Type,SEDOL,NACE_letter,Report
54558,SG1DH9000006,NetLink NBN Trust,1,2017.0,SGP,Y6S61H108,20170719.0,SGP,0H6D3W-E,61.1,SINGAPORE,CJLU-SG,SG1DH9000006,BF5GLW,NetLink NBN Trust,1.0,CJLU-SG,1,SHARE,BF5GLW6,J,NetLink NBN Trust1.pdf
17116,KYG2114J1186,Chuanglian Holdings Limited,1,2004.0,HKG,G2114J118,20041118.0,HKG,006KJ2-E,61.9,HONG KONG,2371-HK,KYG2114J1186,BNFVQW,Chuanglian Holdings Limited,1.0,2371-HK,1,SHARE,BNFVQW2,J,Chuanglian Holdings Limited2.pdf
8565,BD0002BSCCL0,Bangladesh Submarine Cable Co. Ltd.,1,2008.0,BGD,Y000CC103,20120618.0,BGD,0C5BNY-E,61.9,DHAKA,BSCCL-BD,BD0002BSCCL0,B4LWWD,Bangladesh Submarine Cable Co. Ltd.,1.0,BSCCL-BD,1,SHARE,B4LWWD9,J,Bangladesh Submarine Cable Co. Ltd.1.pdf
47742,US5380341090,"Live Nation Entertainment, Inc.",1,1996.0,USA,538034109,20180129.0,USA,09HB7M-E,59.2,LONDON,@NA,US5380341090,53803410,"Live Nation Entertainment, Inc.",1.0,0JVD-GB,0,SHARE,BD6TGW5,J,"Live Nation Entertainment, Inc.1.pdf"
52831,GB00BMXH3352,MotorK PLC,1,2014.0,NLD,G632AA109,20211105.0,GBR,0HGWRF-E,63.11,EURONEXT AMSTERDAM,MTRK-NL,GB00BMXH3352,BMXH33,MotorK PLC,1.0,MTRK-NL,1,SHARE,BMXH335,J,MotorK PLC1.pdf
14501,IL0011015349,Cellcom Israel Ltd.,1,1994.0,ISR,M2196U109,20070809.0,ISR,063HCZ-E,61.2,TEL AVIV,CEL-IL,IL0011015349,B23WQK,Cellcom Israel Ltd.,1.0,CEL-IL,1,SHARE,B23WQK8,J,Cellcom Israel Ltd.1.pdf
85657,KYG9390R1103,Vobile Group Ltd.,1,2005.0,HKG,G9390R110,20191209.0,HKG,0H4WFV-E,58.29,US OTC,@NA,KYG9390R1103,BNT8LN,Vobile Group Ltd.,1.0,VOBIF-US,0,SHARE,BNT8PS8,J,Vobile Group Ltd.1.pdf
11275,GB0033147751,Bloomsbury Publishing Plc,1,1986.0,GBR,G1179Q132,19940623.0,GBR,05J1S4-E,58.11,LONDON,BMY-GB,GB0033147751,331477,Bloomsbury Publishing Plc,1.0,BMY-GB,1,SHARE,3314775,J,Bloomsbury Publishing Plc1.pdf
18268,CA19239C1068,Cogeco Communications Inc.,1,1972.0,CAN,19239C106,19930706.0,CAN,003VHK-E,60.2,TORONTO,CCA-CA,CA19239C1068,BZCDFX,Cogeco Communications Inc.,1.0,CCA-CA,1,SHARE,BZCDFX9,J,Cogeco Communications Inc.1.pdf
65507,GB00B7TW1V39,Redcentric Plc,1,2013.0,GBR,G7444T108,20130424.0,GBR,0D0669-E,62.01,LONDON,RCN-GB,GB00B7TW1V39,B7TW1V,Redcentric Plc,1.0,RCN-GB,1,SHARE,B7TW1V3,J,Redcentric Plc1.pdf
18464,PLCOMAR00012,Comarch S.A.,1,1993.0,POL,X1450R107,19990511.0,POL,05J5PG-E,62.09,WARSAW,CMR-PL,PLCOMAR00012,446929,Comarch S.A.,1.0,CMR-PL,1,SHARE,4469298,J,Comarch S.A.1.pdf
18273,CA19238T1003,Cogeco Inc.,1,1957.0,CAN,19238T100,20120823.0,CAN,003N2D-E,60.2,US OTC,@NA,CA19238T1003,218689,Cogeco Inc.,1.0,CGECF-US,0,SHARE,B3BGRD9,J,Cogeco Inc.1.pdf
21863,DE0005557508,Deutsche Telekom AG,1,1995.0,DEU,D2035M136,20060724.0,DEU,0011H9-E,61.1,MILAN,@NA,DE0005557508,584235,Deutsche Telekom AG,1.0,1DTE-IT,0,SHARE,B19GHY8,J,Deutsche Telekom AG2.pdf
18812,DE000A288904,CompuGroup Medical SE & Co. KGaA,1,1987.0,DEU,D193ZN100,20090618.0,DEU,05J9VL-E,58.29,US OTC,@NA,DE000A288904,BMY7CH,CompuGroup Medical SE & Co. KGaA,1.0,CMPVF-US,0,SHARE,BLB0D51,J,CompuGroup Medical SE & Co. KGaA1.pdf
84391,JP3835400007,Vector Inc.,1,1989.0,JPN,J9451E104,20000814.0,JPN,@NA,58.29,TOKYO,2656-JP,JP3835400007,628004,Vector Inc.,1.0,2656-JP,1,SHARE,6280044,J,Vector Inc.1.pdf
15784,KYG2153C1078,China Bright Culture Group,1,2014.0,HKG,G2153C107,20200313.0,CHN,0LD1Z3-E,59.11,HONG KONG,1859-HK,KYG2153C1078,BL398Y,China Bright Culture Group,1.0,1859-HK,1,SHARE,BL398Y0,J,China Bright Culture Group1.pdf
55397,JP3748520008,Nihon Falcom Corporation,1,1981.0,JPN,J5014F109,20031202.0,JPN,@NA,58.29,TOKYO,@NA,JP3748520008,670991,Nihon Falcom Corporation,1.0,3723-JP,1,SHARE,6709914,J,Nihon Falcom Corporation1.pdf
15600,KYG2R50A1062,Cheshi Technology Inc.,1,2018.0,HKG,G2R50A106,20210115.0,CHN,0L6148-E,63.11,HONG KONG,1490-HK,KYG2R50A1062,BMXLWR,Cheshi Technology Inc.,1.0,1490-HK,1,SHARE,BMXLWR4,J,Cheshi Technology Inc.1.pdf
33233,INE871H01011,GSS Infotech Limited,1,1999.0,IND,Y2904M107,20080307.0,IND,06Q8GB-E,62.09,BSE INDIA,532951-IN,INE871H01011,B2339G,GSS Infotech Limited,1.0,532951-IN,1,SHARE,B2339G8,J,GSS Infotech Limited1.pdf
81460,GB00B28HSF71,Tracsis plc,1,2004.0,GBR,G90029102,,GBR,@NA,58.29,US OTC,@NA,GB00B28HSF71,B28HSF,Tracsis plc,1.0,TCIIF-US,0,SHARE,B97DG06,J,Tracsis plc1.pdf
47768,AU000000LVT6,LiveTiles Limited,1,1994.0,AUS,Q55815106,19990817.0,AUS,@NA,58.29,ASX,LVT-AU,AU000000LVT6,BZ17WJ,LiveTiles Limited,1.0,LVT-AU,1,SHARE,BZ17WJ7,J,LiveTiles Limited1.pdf
28466,CA3434492037,Flow Capital Corp.,1,1993.0,CAN,343449203,20130605.0,CAN,0HSV8R-E,64.99,US OTC,@NA,CA3434492037,BMGGJQ,Flow Capital Corp.,1.0,AHFCF-US,0,SHARE,BMGGJR5,K,Flow Capital Corp.3.pdf
50063,PK0055601014,MCB Bank Limited,1,1947.0,PAK,Y61898105,19940126.0,PAK,05J41G-E,64.19,PAKISTAN STOCK EXCHANGE,MCB-PK,PK0055601014,661157,MCB Bank Limited,1.0,MCB-PK,1,SHARE,6611570,K,MCB Bank Limited1.pdf
7722,FR0000120628,AXA SA,1,1985.0,FRA,F06106102,20030922.0,FRA,001VPR-E,65.11,US OTC,@NA,FR0000120628,708842,AXA SA,1.0,AXAHF-US,0,SHARE,B02PRD4,K,AXA SA1.pdf
27127,CA3039011026,Fairfax Financial Holdings Limited,1,1951.0,CAN,303901102,20021218.0,CAN,000JFZ-E,65.12,US OTC,FRFHF-US,CA3039011026,256635,Fairfax Financial Holdings Limited,1.0,FRFHF-US,0,SHARE,2173665,K,Fairfax Financial Holdings Limited1.pdf
13205,US1300511052,California Business Bank,0,2005.0,USA,130051105,20060425.0,USA,@NA,64.19,US OTC,@NA,US1300511052,13005110,California Business Bank,1.0,CABB-US,0,SHARE,B13FSK4,K,California Business Bank1.pdf
70392,FDS0JXSU,Shandong International Trust Co. Ltd.,1,1987.0,HKG,FDS0JXSU8,,CHN,05WV4C-E,64.3,@NA,@NA,@NA,BD2CBD,Shandong International Trust Co. Ltd.,1.0,@NA,0,SHARE,@NA,K,Shandong International Trust Co. Ltd.1.pdf
23056,GB00BLF7PP25,Downing Renewables & Infrastructure Trust Plc,1,1986.0,GBR,G29015107,20201210.0,GBR,@NA,64.3,LONDON,DORE-GB,GB00BLF7PP25,BLF7PP,Downing Renewables & Infrastructure Trust Plc,1.0,DORE-GB,1,SHARE,BLF7PP2,K,Downing Renewables & Infrastructure Trust Plc2.pdf
61621,IT0003796171,Poste Italiane SpA,1,1925.0,ITA,T7S697106,20200317.0,ITA,05L6TG-E,64.19,US OTC,@NA,IT0003796171,BYYN70,Poste Italiane SpA,1.0,PITAF-US,0,SHARE,BLHDD87,K,Poste Italiane SpA1.pdf
8293,IT0000784196,Banca Popolare di Sondrio S.p.A.,1,1871.0,ITA,T1549L116,19920909.0,ITA,05HX6R-E,64.19,MILAN,BPSO-IT,IT0000784196,411522,Banca Popolare di Sondrio S.p.A.,1.0,BPSO-IT,1,SHARE,4115223,K,Banca Popolare di Sondrio S.p.A.1.pdf
83915,BD0109UTARA6,Uttara Bank Limited.,1,1965.0,BGD,Y9329Q100,19960404.0,BGD,05R5L0-E,64.19,DHAKA,@NA,BD0109UTARA6,692158,Uttara Bank Limited.,1.0,UTTARABANK-BD,1,SHARE,6921581,K,Uttara Bank Limited.1.pdf
68800,ZAE000006565,Sasfin Holdings Limited,1,1951.0,ZAF,S7367W101,19920908.0,ZAF,05JGSS-E,66.12,JSE,SFN-ZA,ZAE000006565,677741,Sasfin Holdings Limited,1.0,SFN-ZA,1,SHARE,6777416,K,Sasfin Holdings Limited2.pdf
31401,CA37959M2031,Global Gaming Technologies Corp,0,2010.0,USA,37959M203,20111230.0,CAN,00CHCN-E,64.99,US OTC,@NA,CA37959M2031,37959M20,Global Gaming Technologies Corp.,1.0,BLKCF-US,1,SHARE,BJQ1Y96,K,Global Gaming Technologies Corp.1.pdf
8955,GB0031348658,Barclays PLC,1,,GBR,G08036124,20141103.0,GBR,05H4C8-E,66.12,SIX SWISS,@NA,GB0031348658,313486,Barclays PLC,1.0,BARC-CH,0,SHARE,BRTM7V5,K,Barclays PLC1.pdf
13393,CA1360691010,Canadian Imperial Bank of Commerce,1,1961.0,CAN,136069101,19990205.0,CAN,001VG4-E,64.19,FRANKFURT,@NA,CA1360691010,217052,Canadian Imperial Bank of Commerce,1.0,CAI-DE,0,SHARE,5619694,K,Canadian Imperial Bank of Commerce1.pdf
77859,FI4000062195,Taaleri Plc,1,2007.0,FIN,X8T3H4111,20130424.0,FIN,08BDC8-E,66.3,OMX NORDIC HELSINKI,TAALA-FI,FI4000062195,B975ZB,Taaleri Plc,1.0,TAALA-FI,1,SHARE,B975ZB6,K,Taaleri Plc1.pdf
8375,ARBVAL3024G2,Banco De Valores,1,1978.0,ARG,P1S09F710,20000203.0,ARG,06LK09-E,64.19,BUENOS AIRES,VALO-AR,ARBVAL3024G2,BJLD2Z,Banco De Valores,1.0,VALO-AR,1,SHARE,BJLD2Z9,K,Banco De Valores1.pdf
54124,GB00BM8PJY71,NatWest Group Plc,1,1968.0,GBR,G6422B147,20030813.0,GBR,0030BD-E,64.19,US OTC,@NA,GB00BM8PJY71,BM8PJY,NatWest Group Plc,1.0,RBSPF-US,0,SHARE,BMBW923,K,NatWest Group Plc1.pdf
37638,SG2D00968206,Hutchison Port Holdings Trust,1,2011.0,SGP,Y3780D104,20120402.0,SGP,0BKJC8-E,64.3,SINGAPORE,@NA,SG2D00968206,B56ZM7,Hutchison Port Holdings Trust,1.0,@NA,0,SHARE,B7TDJS9,K,Hutchison Port Holdings Trust3.pdf
8099,BH0004652895,Bahrain Commercial Facilities Company BSC,1,1983.0,BHR,M1573S109,19960212.0,BHR,006ZDD-E,64.92,BAHRAIN,BCFC-BH,BH0004652895,607149,Bahrain Commercial Facilities Company BSC,1.0,BCFC-BH,1,SHARE,6071497,K,Bahrain Commercial Facilities Company BSC1.pdf
87223,INE837E01019,Winro Commercial (India) Ltd,0,1983.0,IND,Y96593101,20050929.0,IND,@NA,64.99,BSE INDIA,@NA,INE837E01019,B0573V,Winro Commercial (India) Ltd,1.0,512022-IN,0,SHARE,B0573V7,K,Winro Commercial (India) Ltd2.pdf
76162,US8618961085,StoneX Group Inc.,1,1987.0,USA,861896108,19950213.0,USA,0013QC-E,66.12,NASDAQ,SNEX-US,US8618961085,86189610,StoneX Group Inc.,1.0,SNEX-US,1,SHARE,BMQ8XV3,K,StoneX Group Inc.1.pdf
65560,US7580541008,Redwood Group International,0,2000.0,USA,758054100,20021031.0,USA,@NA,66.12,US OTC,@NA,US7580541008,75805410,Redwood Group International,1.0,RDWD-US,1,SHARE,B4V4VZ0,K,Redwood Group International1.pdf
82183,US8983492047,TrustCo Bank Corp NY,1,1902.0,USA,898349204,19841105.0,USA,000XY7-E,64.19,NASDAQ,TRST-US,US8983492047,89834920,TrustCo Bank Corp NY,1.0,TRST-US,1,SHARE,BN0ZBP7,K,TrustCo Bank Corp NY1.pdf
22394,GB00BY9D0Y18,Direct Line Insurance Group Plc,0,1988.0,GBR,G2871V114,,GBR,0988T6-E,65.12,BERNE,@NA,GB00BY9D0Y18,BY9D0Y,Direct Line Insurance Group Plc,1.0,D1LN-CH,0,SHARE,BHSRZ95,K,Direct Line Insurance Group Plc1.pdf
68485,ZAE000070660,Sanlam Limited,1,1918.0,ZAF,S7302C137,19981130.0,ZAF,05HWML-E,65.12,JSE,SLM-ZA,ZAE000070660,B0L675,Sanlam Limited,1.0,SLM-ZA,1,SHARE,B0L6750,K,Sanlam Limited2.pdf
66252,ZAE000244737,RH Bophelo Ltd.,1,2016.0,ZAF,S6992Y102,20170712.0,ZAF,@NA,64.99,JSE,@NA,ZAE000244737,BF0K74,RH Bophelo Ltd.,1.0,RHB-ZA,1,SHARE,BF0K747,K,RH Bophelo Ltd.1.pdf
78565,FDS09VYW,Tatra banka a.s.,1,1990.0,SVK,FDS09VYW2,,SVK,05TN3V-E,64.19,@NA,@NA,@NA,724043,Tatra banka a.s.,1.0,@NA,0,SHARE,@NA,K,Tatra banka a.s.1.pdf
17500,US1729674242,Citigroup Inc.,1,1812.0,USA,172967424,20191202.0,USA,0027L0-E,64.19,MILAN,@NA,US1729674242,17296742,Citigroup Inc.,1.0,CIT.U-IT,0,SHARE,B8GQ7Q2,K,Citigroup Inc.2.pdf
18502,INE274M01026,Comfort Fincap Ltd.,1,1982.0,IND,Y1670N117,20130325.0,IND,@NA,64.92,BSE INDIA,@NA,INE274M01026,BR0WYX,Comfort Fincap Ltd.,1.0,535267-IN,1,SHARE,BR0WYX5,K,Comfort Fincap Ltd.1.pdf
28289,US3377381088,"Fiserv, Inc.",1,1984.0,USA,337738108,20060224.0,USA,000KJ3-E,66.19,LONDON,@NA,US3377381088,33773810,"Fiserv, Inc.",1.0,0IP9-GB,0,SHARE,B0ZSHX0,K,"Fiserv, Inc.1.pdf"
40877,JO2102511018,Islamic Insurance Co.,1,1996.0,JOR,M5733W108,19990429.0,JOR,@NA,66.22,AMMAN,TIIC-JO,JO2102511018,645118,Islamic Insurance Co.,1.0,TIIC-JO,1,SHARE,6451185,K,Islamic Insurance Co.2.pdf
44607,FDS1CSMW,Kingswood Acquisition Corp.,1,2020.0,USA,FDS1CSMW6,,USA,@NA,64.99,@NA,@NA,@NA,49686110,Kingswood Acquisition Corp.,1.0,@NA,0,SHARE,@NA,K,Kingswood Acquisition Corp.1.pdf
62700,US7443201022,"Prudential Financial, Inc.",1,1875.0,USA,744320102,20180129.0,USA,00371D-E,65.11,LONDON,@NA,US7443201022,74432010,"Prudential Financial, Inc.",1.0,0KRX-GB,0,SHARE,BYZHBZ5,K,"Prudential Financial, Inc.1.pdf"
62595,FDS1NRE1,Prosus N.V.,1,1997.0,NLD,FDS1NRE13,,NLD,08C30P-E,64.99,@NA,@NA,@NA,BJDS7L,Prosus N.V.,1.0,@NA,0,SHARE,@NA,K,Prosus N.V.1.pdf
86615,US9497461015,Wells Fargo & Company,1,1852.0,USA,949746101,20141106.0,USA,000RGR-E,64.19,LONDON,@NA,US9497461015,94974610,Wells Fargo & Company,1.0,0R2F-GB,0,SHARE,BSJC9N8,K,Wells Fargo & Company1.pdf
26862,CA30163L1031,Exelerate Capital Corp.,1,2018.0,CAN,30163L103,20190610.0,CAN,@NA,64.99,TSX VENTURE,@NA,CA30163L1031,30163L10,Exelerate Capital Corp.,1.0,XCAP.P-CA,1,SHARE,BJTN2Q2,K,Exelerate Capital Corp.2.pdf
32251,FDSFAE32,"GP Investments, Ltd.",1,1993.0,LUX,FDSFAE325,,BMU,06JLZM-E,64.99,@NA,@NA,@NA,B16CKW,"GP Investments, Ltd.",1.0,@NA,0,SHARE,@NA,K,"GP Investments, Ltd.1.pdf"
37047,GB0005405286,HSBC Holdings Plc,1,1959.0,GBR,G4634U169,20141117.0,GBR,002J95-E,64.19,HONG KONG CONNECT  - SHANGHAI,5-HSC,GB0005405286,054052,HSBC Holdings Plc,1.0,@NA,0,SHARE,BP3RVM1,K,HSBC Holdings Plc2.pdf
69575,PHY7571C1000,Security Bank Corp. (Philippines),1,1951.0,PHL,Y7571C100,19950720.0,PHL,05J4BQ-E,64.19,PHILIPPINES,SECB-PH,PHY7571C1000,679233,Security Bank Corp. (Philippines),1.0,SECB-PH,1,SHARE,6792334,K,Security Bank Corp. (Philippines)2.pdf
83659,SG1J21887414,UOB-Kay Hian Holdings Limited,1,1970.0,SGP,Y92991101,20001023.0,SGP,05J0NW-E,66.12,SINGAPORE,U10-SG,SG1J21887414,629438,UOB-Kay Hian Holdings Limited,1.0,U10-SG,1,SHARE,6294380,K,UOB-Kay Hian Holdings Limited1.pdf
82014,CA89679A2092,Trisura Group Ltd.,1,2006.0,CAN,89679A209,20170622.0,CAN,0GVBWF-E,65.12,US OTC,@NA,CA89679A2092,BFNJQX,Trisura Group Ltd.,1.0,TRRSF-US,0,SHARE,BYWPWZ9,K,Trisura Group Ltd.1.pdf
49578,GB00BD8SLV43,Marlowe Plc,1,2016.0,GBR,G5840S104,20071026.0,GBR,0G3PVV-E,64.99,LONDON,MRL-GB,GB00BD8SLV43,BD8SLV,Marlowe Plc,1.0,MRL-GB,1,SHARE,BD8SLV4,K,Marlowe Plc1.pdf
42467,INE356F01017,Jindal Capital Limited,0,1994.0,IND,Y4442V102,20041124.0,IND,@NA,64.3,BSE INDIA,@NA,INE356F01017,B04GKP,Jindal Capital Limited,1.0,530405-IN,0,SHARE,B04GKP8,K,Jindal Capital Limited2.pdf
21848,DE0008019001,Deutsche Pfandbriefbank AG,1,1997.0,DEU,D1R83Y100,20180508.0,DEU,05G6F2-E,64.19,US OTC,@NA,DE0008019001,BYM691,Deutsche Pfandbriefbank AG,1.0,PBBGF-US,0,SHARE,BF2FHS4,K,Deutsche Pfandbriefbank AG3.pdf
17525,US1746101054,"Citizens Financial Group, Inc.",1,1828.0,USA,174610105,20180119.0,USA,05K8PY-E,64.19,LONDON,@NA,US1746101054,17461010,"Citizens Financial Group, Inc.",1.0,0HYP-GB,0,SHARE,BYZHHS0,K,"Citizens Financial Group, Inc.3.pdf"
64693,BMG7371X1065,R&Q Insurance Holdings Ltd,1,1991.0,GBR,G7371X106,20200812.0,BMU,0D7DG3-E,66.22,US OTC,@NA,BMG7371X1065,BBL4RK,R&Q Insurance Holdings Ltd,1.0,RQIHF-US,0,SHARE,BBM58C7,K,R&Q Insurance Holdings Ltd1.pdf
90399,ZW0009011611,Zimre Holdings Limited,1,1983.0,ZWE,V98988104,20090317.0,ZWE,06KWTH-E,66.22,ZIMBABWE,ZIMR-ZW,ZW0009011611,628266,Zimre Holdings Limited,1.0,ZIMR-ZW,1,SHARE,6282664,K,Zimre Holdings Limited1.pdf
39884,INE512D01028,Intellivate Capital Ventures Limited,1,1982.0,IND,Y4098N123,20080527.0,IND,@NA,64.99,BSE INDIA,@NA,INE512D01028,B2QVGM,Intellivate Capital Ventures Limited,1.0,506134-IN,1,SHARE,B2QVGM4,K,Intellivate Capital Ventures Limited1.pdf
39758,BBP5622P1043,Insurance Corporation of Barbados Ltd,1,1994.0,BRB,P5622P120,,BRB,@NA,65.11,BARBADOS,@NA,BBP5622P1043,B4V6KM,Insurance Corporation of Barbados Ltd,1.0,ICBL-BB,1,SHARE,B4V6KM6,K,Insurance Corporation of Barbados Ltd1.pdf
44606,US4969042021,Kingsway Financial Services Inc,1,1989.0,USA,496904202,20010712.0,USA,00281P-E,65.11,NYSE,KFS-US,US4969042021,49690420,Kingsway Financial Services Inc,1.0,KFS-US,1,SHARE,BGNQ6J7,K,Kingsway Financial Services Inc1.pdf
75087,NO0006000207,SpareBank 1 Sorost-Norge,1,1859.0,NOR,R83248105,19940606.0,NOR,07GFKN-E,64.19,OSLO,SOON-NO,NO0006000207,480935,SpareBank 1 Sorost-Norge,1.0,SOON-NO,1,SHARE,4809355,K,SpareBank 1 Sorost-Norge1.pdf
